PALANQUILLA;RMSE-INICIAL;CONSUMO-INICIAL;RMSE-OPTIMIZADO;CONSUMO-OPTIMIZADO;VARIACIÓN-RMSE;VARIACIÓN-ENERGÉTICO
6211341;4,2;17,188;3,48;13,048;-17,1;-24,1
6211342;2,89;16,552;2,42;12,15;-16,3;-26,6
6211343;4,64;14,648;4,73;11,172;1,9;-23,7
6211344;5,93;11,769;4,76;10,892;-19,7;-7,5
6211345;5,08;14,454;3,67;10,99;-27,8;-24,0
6211346;5,23;13,976;3,73;10,508;-28,7;-24,8
6211347;4,54;15,547;3,08;11,897;-32,2;-23,5
6211348;7,13;16,176;4,01;10,98;-43,8;-32,1
6211349;3,25;15,939;3,4;11,876;4,6;-25,5
6211350;3,82;15,886;4,54;12,988;18,8;-18,2
6211351;3,35;16,038;3,5;10,804;4,5;-32,6
6211352;3,88;16,104;3,22;12,975;-17,0;-19,4
6211353;2,71;17,377;3,98;13,108;46,9;-24,6
6211354;7;17,717;4,76;12,973;-32,0;-26,8
6211355;5,78;17,142;4,57;13,378;-20,9;-22,0
6211356;3,04;16,707;3,31;12,785;8,9;-23,5
6211357;3,73;16,618;3,84;12,877;2,9;-22,5
6211358;6,55;11,608;4,9;10,729;-25,2;-7,6
PATRÓN MEDIO;20,83;15,636;4,63;10,764;-77,8;-31,2
